,RandomForestClassifier,LGBMClassifier,XGBClassifier
Accuracy,0.6555555555555556,0.5222222222222223,0.6222222222222222
Balanced accuracy,0.5786637931034483,0.4822198275862069,0.552801724137931
Precision,0.6901408450704225,0.631578947368421,0.6764705882352942
Recall,0.8448275862068966,0.6206896551724138,0.7931034482758621
F1score,0.7596899224806202,0.6260869565217391,0.7301587301587301
MCC,0.18453888433414964,-0.035323241604631433,0.11762544748949916
