,RandomForestClassifier,LGBMClassifier,XGBClassifier
Accuracy,0.6,0.5444444444444444,0.6444444444444445
Balanced accuracy,0.5775862068965517,0.5064655172413793,0.5700431034482758
Precision,0.7037037037037037,0.6491228070175439,0.6857142857142857
Recall,0.6551724137931034,0.6379310344827587,0.8275862068965517
F1score,0.6785714285714286,0.6434782608695653,0.75
MCC,0.15161960871578067,0.012844815128956886,0.16129479177027617
