,Feature,Gini,Importance (split),Importance (weight)
0,ENSG00000205795,0.016012250401502816,28.0,
1,ENSG00000162998,0.013482135940252072,12.0,
2,ENSG00000075413,0.011331471459756713,7.0,
3,ENSG00000139289,0.010379376273638613,4.0,
4,ENSG00000213694,0.0069050597412613525,9.0,
5,ENSG00000143768,0.005512450823797096,4.0,
6,ENSG00000164694,0.005326002242124529,186.0,
7,ENSG00000073008,0.004869549252589705,13.0,
8,ENSG00000205221,0.004692414565822345,14.0,
9,ENSG00000188257,0.004186136875040683,5.0,
10,ENSG00000145623,0.0038226183881620423,4.0,
11,ENSG00000186529,0.003644791185774977,4.0,
12,ENSG00000112562,0.003443795860623903,11.0,
13,ENSG00000108219,0.0033652132601517714,4.0,
14,ENSG00000115602,0.0030754559272475473,18.0,
15,ENSG00000156475,0.002810174300411174,9.0,
16,ENSG00000118495,0.002005715836398787,4.0,
17,ENSG00000254636,0.0019819498356706913,14.0,
18,ENSG00000125869,0.001778430376133922,4.0,
19,ENSG00000229246,0.001772792255579686,7.0,
20,ENSG00000141497,0.0016008566152351097,4.0,
21,ENSG00000100095,0.0015644798982049428,21.0,
22,ENSG00000134539,0.0015093670016004673,46.0,
23,ENSG00000106483,0.0014405149611663585,5.0,
24,ENSG00000113657,0.0011967444433938401,5.0,
25,ENSG00000120910,0.001080167971840314,21.0,
26,ENSG00000139329,0.0010062545592322164,10.0,
27,ENSG00000065675,0.0009488243629538798,3.0,
28,ENSG00000143110,0.0009290979043115665,11.0,
29,ENSG00000164946,0.0009037441492499386,15.0,
30,ENSG00000174640,0.0008471736570281105,8.0,
31,ENSG00000147872,0.0007679775424536966,5.0,
32,ENSG00000114279,0.0007271510413078037,6.0,
33,ENSG00000111684,0.0007069485965571195,9.0,
34,ENSG00000102226,0.00069288245222112,11.0,
35,ENSG00000132170,0.0006829417639446411,12.0,
36,ENSG00000197852,0.0006691850480903951,10.0,
37,ENSG00000113916,0.0006146652104604146,9.0,
38,ENSG00000205795,0.016012250401502816,,0.022983858
39,ENSG00000162998,0.013482135940252072,,0.00938245
40,ENSG00000169436,0.010615456776605851,,0.00095877907
41,ENSG00000123243,0.007015607581693662,,0.0036914847
42,ENSG00000213694,0.0069050597412613525,,0.0005639052
43,ENSG00000186160,0.006320599036714912,,0.009178712
44,ENSG00000163145,0.005631015950346316,,0.016714023
45,ENSG00000164694,0.005326002242124529,,0.062340893
46,ENSG00000205221,0.004692414565822345,,0.0007130586
47,ENSG00000103316,0.004570711752197152,,0.00040956098
48,ENSG00000149575,0.004227155538997578,,0.007651324
49,ENSG00000137393,0.003891631796681949,,0.00085230527
50,ENSG00000186466,0.0038099088732669183,,0.0003261597
51,ENSG00000186529,0.003644791185774977,,0.0005362868
52,ENSG00000112562,0.003443795860623903,,0.03874088
53,ENSG00000115107,0.0031365336952208682,,0.0003273136
54,ENSG00000115602,0.0030754559272475473,,0.0006298318
55,ENSG00000254636,0.0019819498356706913,,0.0041929088
56,ENSG00000120820,0.0018475997534746014,,0.00041933556
57,ENSG00000100095,0.0015644798982049428,,0.0009641437
58,ENSG00000073861,0.0015430390904378364,,0.00206764
59,ENSG00000134539,0.0015093670016004673,,0.0022166462
60,ENSG00000171101,0.0014943223634822148,,0.019253759
61,ENSG00000120910,0.001080167971840314,,0.014502339
62,ENSG00000198756,0.0010596783222572687,,0.0007987917
63,ENSG00000182197,0.0010117757910315594,,0.00047609842
64,ENSG00000065675,0.0009488243629538798,,0.00026184294
65,ENSG00000164946,0.0009037441492499386,,0.0005410192
66,ENSG00000179476,0.0009002909849916182,,0.005777885
67,ENSG00000114279,0.0007271510413078037,,0.0006800199
68,ENSG00000082641,0.000714426056635778,,0.0021025469
69,ENSG00000102226,0.00069288245222112,,0.00042354214
70,ENSG00000088448,0.0006662895074300373,,0.0037680839
71,ENSG00000026950,0.000651627174833225,,0.00029514346
72,ENSG00000163624,0.0006244091840445002,,0.00018114113
73,ENSG00000113916,0.0006146652104604146,,0.0018525117
74,ENSG00000164694,,186.0,0.062340893
