,Feature,Gini,Importance (split),Importance (weight)
107,ENSG00000103316,0.004570711752197152,,0.00040956098
108,ENSG00000149575,0.004227155538997578,,0.007651324
109,ENSG00000188257,0.004186136875040683,,0.00011647989
110,ENSG00000118898,0.0039001699913773402,,4.7221394e-05
111,ENSG00000137393,0.003891631796681949,,0.00085230527
112,ENSG00000186466,0.0038099088732669183,,0.0003261597
113,ENSG00000186529,0.003644791185774977,,0.0005362868
114,ENSG00000112562,0.003443795860623903,,0.03874088
115,ENSG00000115107,0.0031365336952208682,,0.0003273136
116,ENSG00000115602,0.0030754559272475473,,0.0006298318
117,ENSG00000254636,0.0019819498356706913,,0.0041929088
118,ENSG00000120820,0.0018475997534746014,,0.00041933556
119,ENSG00000100095,0.0015644798982049428,,0.0009641437
120,ENSG00000073861,0.0015430390904378364,,0.00206764
121,ENSG00000134539,0.0015093670016004673,,0.0022166462
122,ENSG00000171101,0.0014943223634822148,,0.019253759
123,ENSG00000196821,0.0012222549271288434,,0.0
124,ENSG00000213996,0.001158884265033581,,0.00016164227
125,ENSG00000120910,0.001080167971840314,,0.014502339
126,ENSG00000198756,0.0010596783222572687,,0.0007987917
127,ENSG00000182197,0.0010117757910315594,,0.00047609842
128,ENSG00000065675,0.0009488243629538798,,0.00026184294
129,ENSG00000164946,0.0009037441492499386,,0.0005410192
130,ENSG00000179476,0.0009002909849916182,,0.005777885
131,ENSG00000114279,0.0007271510413078037,,0.0006800199
132,ENSG00000082641,0.000714426056635778,,0.0021025469
133,ENSG00000197183,0.0007064918015569824,,0.0
134,ENSG00000102226,0.00069288245222112,,0.00042354214
135,ENSG00000088448,0.0006662895074300373,,0.0037680839
136,ENSG00000026950,0.000651627174833225,,0.00029514346
137,ENSG00000163624,0.0006244091840445002,,0.00018114113
138,ENSG00000113916,0.0006146652104604146,,0.0018525117
139,ENSG00000143502,0.0005529067512355068,,0.0008311952
140,ENSG00000203685,0.0005527422969320301,,0.0002094921
141,ENSG00000125772,0.0005250666777384335,,0.008060459
142,ENSG00000092009,0.0005223075747674535,,0.008521665
143,ENSG00000157103,0.0005157980485952459,,0.00073916774
144,ENSG00000136436,0.0005115446882030014,,0.008088853
145,ENSG00000100100,0.0004756103931426208,,0.007887693
146,ENSG00000197451,0.00047063200101213646,,0.0
147,ENSG00000137571,0.00044966962608241153,,0.0326341
148,ENSG00000198033,0.000440364727793515,,0.000682545
149,ENSG00000204366,0.00043990235897271136,,0.0004361674
150,ENSG00000168610,0.0004397624383912469,,0.0029110154
151,ENSG00000113578,0.0004382871456270845,,0.000373773
152,ENSG00000196436,0.00043637248993745495,,0.00012996791
153,ENSG00000008394,0.00043260561081699233,,0.0011305775
154,ENSG00000071575,0.0004287020560835272,,0.008364198
155,ENSG00000140465,0.00041507933510019537,,0.0010101944
156,ENSG00000173085,0.00039965220628114783,,0.00022254698
157,ENSG00000236819,0.00039879334096092013,,0.00050564104
158,ENSG00000160049,0.0003986055096148082,,7.63341e-05
159,ENSG00000228532,0.0003973197870599171,,0.0013152792
160,ENSG00000197249,0.00039692249136829514,,0.0
161,ENSG00000233355,0.0003684728338773731,,0.0002887084
162,ENSG00000174501,0.0003653833929785735,,0.006398692
163,ENSG00000173933,0.00035461735923797595,,0.0010326701
164,ENSG00000004776,0.0003475935206927458,,0.0008838705
165,ENSG00000169813,0.00034531107787536414,,0.00087966275
166,ENSG00000198088,0.0003357974515306283,,0.00012436952
167,ENSG00000075856,0.00031959481606276324,,0.009157293
168,ENSG00000197124,0.0003069107471314706,,0.0
169,ENSG00000000003,0.00030572507862964524,,0.0011895415
170,ENSG00000149403,0.00030311252499102555,,0.0020876725
171,ENSG00000164694,,186.0,0.062340893
172,ENSG00000112562,,11.0,0.03874088
173,ENSG00000205795,,28.0,0.022983858
174,ENSG00000171101,,2.0,0.019253759
175,ENSG00000205038,,7.0,0.017216545
176,ENSG00000141665,,3.0,0.016725693
177,ENSG00000120910,,21.0,0.014502339
178,ENSG00000168530,,7.0,0.013758018
179,ENSG00000256973,,2.0,0.010821543
180,ENSG00000135914,,16.0,0.010017389
181,ENSG00000149256,,4.0,0.009940585
182,ENSG00000162998,,12.0,0.00938245
183,ENSG00000186160,,3.0,0.009178712
184,ENSG00000136436,,11.0,0.008088853
185,ENSG00000048540,,29.0,0.0076024244
186,ENSG00000237928,,3.0,0.005593209
187,ENSG00000233485,,26.0,0.0054940027
188,ENSG00000198934,,20.0,0.005189046
189,ENSG00000184203,,2.0,0.0049426365
190,ENSG00000255031,,4.0,0.004676069
191,ENSG00000093009,,2.0,0.0046679894
192,ENSG00000145014,,3.0,0.004620538
193,ENSG00000112299,,5.0,0.0044895015
194,ENSG00000185090,,3.0,0.004335395
195,ENSG00000254636,,14.0,0.0041929088
196,ENSG00000123243,,3.0,0.0036914847
197,ENSG00000106236,,4.0,0.003619374
198,ENSG00000197258,,4.0,0.003511905
199,ENSG00000249846,,3.0,0.0033909404
200,ENSG00000168610,,14.0,0.0029110154
201,ENSG00000143093,,94.0,0.0027461352
202,ENSG00000255062,,1.0,0.0026528866
203,ENSG00000177575,,5.0,0.002624365
204,ENSG00000246985,,6.0,0.0025339138
205,ENSG00000227725,,2.0,0.0025191088
206,ENSG00000242600,,3.0,0.0023688942
207,ENSG00000240654,,2.0,0.0022689993
208,ENSG00000272327,,6.0,0.002227229
209,ENSG00000134539,,46.0,0.0022166462
210,ENSG00000184678,,2.0,0.002192514
211,ENSG00000149403,,4.0,0.0020876725
212,ENSG00000186153,,16.0,0.0019863215
213,ENSG00000113916,,9.0,0.0018525117
214,ENSG00000177889,,2.0,0.0017594093
215,ENSG00000225449,,10.0,0.0016414326
216,ENSG00000236526,,14.0,0.0015466369
217,ENSG00000184005,,7.0,0.0013413765
218,ENSG00000000003,,10.0,0.0011895415
219,ENSG00000126012,,6.0,0.0010564926
220,ENSG00000173933,,3.0,0.0010326701
221,ENSG00000140465,,2.0,0.0010101944
222,ENSG00000100095,,21.0,0.0009641437
223,ENSG00000005102,,3.0,0.00095344044
224,ENSG00000142621,,9.0,0.00093399145
225,ENSG00000169813,,2.0,0.00087966275
226,ENSG00000137393,,2.0,0.00085230527
227,ENSG00000189320,,11.0,0.0008227313
228,ENSG00000199024,,2.0,0.0007667339
229,ENSG00000271714,,9.0,0.00074519834
230,ENSG00000272081,,2.0,0.00072909513
231,ENSG00000205221,,14.0,0.0007130586
232,ENSG00000198033,,3.0,0.000682545
233,ENSG00000114279,,6.0,0.0006800199
234,ENSG00000115602,,18.0,0.0006298318
235,ENSG00000225706,,2.0,0.00061568175
236,ENSG00000108349,,6.0,0.0006129317
237,ENSG00000158008,,1.0,0.00058355957
238,ENSG00000213694,,9.0,0.0005639052
239,ENSG00000272782,,8.0,0.0005630483
240,ENSG00000186532,,3.0,0.0005597559
241,ENSG00000164946,,15.0,0.0005410192
242,ENSG00000186529,,4.0,0.0005362868
243,ENSG00000235118,,14.0,0.00053433084
244,ENSG00000236819,,5.0,0.00050564104
245,ENSG00000182197,,2.0,0.00047609842
246,ENSG00000164674,,3.0,0.00043022016
247,ENSG00000102226,,11.0,0.00042354214
248,ENSG00000246560,,4.0,0.00041918713
249,ENSG00000143995,,2.0,0.00038558923
250,ENSG00000006283,,5.0,0.00038287777
251,ENSG00000141738,,2.0,0.00035080113
252,ENSG00000230606,,3.0,0.0003266208
253,ENSG00000110900,,12.0,0.00032191686
254,ENSG00000101052,,7.0,0.00031903954
255,ENSG00000164707,,7.0,0.00030442092
256,ENSG00000065675,,3.0,0.00026184294
257,ENSG00000271538,,8.0,0.00025336194
258,ENSG00000173085,,6.0,0.00022254698
259,ENSG00000157570,,1.0,0.00021858311
260,ENSG00000138675,,8.0,0.00021714745
261,ENSG00000261672,,2.0,0.000209548
262,ENSG00000203685,,6.0,0.0002094921
263,ENSG00000260822,,3.0,0.00019916573
264,ENSG00000185904,,7.0,0.00017642397
265,ENSG00000232310,,3.0,0.00016401596
266,ENSG00000139289,,4.0,0.00016268485
267,ENSG00000084070,,2.0,0.00014743368
268,ENSG00000196436,,2.0,0.00012996791
