,Feature,Gini,Importance (split),Importance (weight)
109,ENSG00000269939,,1.0,0.00019754679
110,ENSG00000196810,,1.0,0.0
111,ENSG00000196843,,1.0,0.0
112,ENSG00000196873,,1.0,0.0
113,ENSG00000197142,,1.0,0.0
114,ENSG00000196378,,2.0,0.0
115,ENSG00000196152,,1.0,0.0
116,ENSG00000196136,,1.0,0.0
117,ENSG00000196218,,1.0,0.0
118,ENSG00000196636,,2.0,0.0
119,ENSG00000196470,,2.0,0.0
120,ENSG00000196428,,1.0,0.0
121,ENSG00000196542,,1.0,0.0
122,ENSG00000000003,,5.0,0.0
123,ENSG00000198758,,1.0,0.0
124,ENSG00000198756,,1.0,0.0
125,ENSG00000198734,,2.0,0.0
