,RandomForestClassifier,LGBMClassifier,XGBClassifier
Accuracy,0.5111111111111111,0.5333333333333333,0.4777777777777778
Balanced accuracy,0.599676724137931,0.5048491379310345,0.4267241379310345
Precision,0.7016749585406301,0.546090534979424,0.5692104192104193
Recall,0.5111111111111111,0.5333333333333333,0.4777777777777778
F1score,0.4892169558836225,0.5387254901960784,0.5174385363064608
MCC,0.24248876958985047,0.009476225544736292,0.043125811708741156
