hgnc_symbol
TSPAN6
FUCA2
TFPI
SLC25A13
MGST1
CHDH
IL17RB
LAPTM4A
TGFBR3
EVC
PVR
MARK3
RFX2
TLL2
DMC1
MCF2
SYT17
ANKRD7
SFRP4
MEOX2
MLX
ADGRD1
SMOC2
FGF1
BCL6
STEAP3
UNC50
IL1RL1
ICMT
PPP3CC
EPHX2
ITIH5
LAMP5
TNFRSF19
POM121L9P
ATP1B2
PSME3
ATP1A4
CALCOCO2
PI15
PHLDA1
SDSL
CMTM2
FHAD1
FCN3
AQP10
SCN2B
FARP1
RASSF3
CC2D1B
VSIG4
LAD1

BEND5
SLC1A7
FRZB
ZDHHC3
LIPH
FNDC1
FREM1
NDRG2
C11orf65
NSG1
ODAD2
COL22A1
KCNS3
MAP6
CD163
PENK
EXT1
ST6GALNAC3
SEMA4B
PPP1CC
CYP4F3
MMP23B
SERPINA3
ZNF79
RYR1
NLGN3
ZNF34
TSC22D2
SIAH1
SPTSSB
ZNF782
ADH1B
SDHAF3
HRH1
RABL6
ZNF136
ZKSCAN5
ZNF502
TRAPPC4

TTC30B
SLC30A10
TECPR2
TLR7
FAM180B
LINC00173
ZFP62
ERI2
TOMM7
TOMM7
TRPV1
S100A2
SNHG17
ZNF700
CD47
TLE1
MAML3
H2AC11
STRN3
ZNF239
CTBP1-DT
ZSCAN16
MVB12B
ILRUN
ADA
ARID5A
PPTC7
NHLRC2
ZFP28
CRACDL
CBWD3
SCN8A
LAMB3
KPNA5
ANKRD36B
ARHGEF12
ZNF252P
PDLIM7
FLNA
TMEM26
SRGAP1
FAM3C
NOP9
SLC39A10
SCOC-AS1
CASP4
AP2A1
ZNF585A
FUT11
SMIM10L2B
ANXA4
LAGE3
WDR5B
ACSL5
ELANE
ZNF624
HHLA3
HOXA4
TOPORS
BCO2
GPX1P1
KCNMB2
ENTPD6
ENPP1
CCDC154
FAR1
CPLANE1
MYH6
PDCD1LG2
ZNF433
DNAH10
NMB
PARVA
RPS26
PTMAP2
PSAP
S100A10
CFAP43
RPL37A
CCDC180
INKA2
ERO1A
FCHSD1
MRPL42
ENTPD7
FCGR1BP
ZNF335
TUBA3C
RPS4X
ZNF273
ZNF84
MAK16
ZNF667
SIRPA
GRK6
PRIM1
MARCHF5
AKR1B10
SULT1C4
NUP62CL
HIBCH
ZNF544
TMEM229B
PTMAP9
SOWAHC
ZNF770
ZNF876P
NPIPB6
HMGN5
MIER1
MAN1A2
SVIP
ZNF251
DDRGK1
ZNF334
HSD17B11
SZT2
FKBP1C
RPL23A
UBL5
HELZ
TMEM116
UCKL1
CARD11
UVRAG
ZNF658B
MT1F
TCAF1
ZNF69
TXNRD1
NRARP
ZNF583
ZNF568
ZXDB
ZNF480
ARC
APRG1
F5
COLGALT2
EPS8L3
CYS1
GPX3
S1PR3
LINC00377
LINC02969
FHAD1-AS1
SP2-AS1
LINC00861
DRAIC
LINC02207
LINC02352


PCF11-AS1
