hgnc_symbol
TSPAN6
FUCA2
TFPI
SLC25A13
MGST1
CHDH
IL17RB
LAPTM4A
TGFBR3
EVC
PVR
MARK3
RFX2
TLL2
DMC1
SYT17
ANKRD7
SFRP4
MEOX2
MLX
ADGRD1
SMOC2
FGF1
BCL6
STEAP3
UNC50
IL1RL1
ICMT
PPP3CC
EPHX2
ITIH5
POM121L9P
ATP1B2
PSME3
CALCOCO2
PHLDA1
CMTM2
FHAD1
FCN3
AQP10
SCN2B
FARP1
CC2D1B
VSIG4
LAD1
SLC1A7
FRZB
ZDHHC3
LIPH
FNDC1
FREM1
C11orf65
NSG1
ODAD2
COL22A1
KCNS3
MAP6
CD163
PENK
EXT1
ST6GALNAC3
SEMA4B
CYP4F3
SERPINA3
ZNF79
RYR1
NLGN3
ZNF34
TSC22D2
SIAH1
SPTSSB
ADH1B
SDHAF3
TRPV1
H2AC11
CTBP1-DT
ARID5A
CBWD3
ACSL5
MYH6
ZNF69
ZNF480
F5
COLGALT2
EPS8L3
CYS1
GPX3
S1PR3
LINC00377
FHAD1-AS1
LINC00861
LINC02352

PCF11-AS1
