hgnc_symbol
TSPAN6
MEOX1
CACNA1G
MGST1
BTN3A1
LMO3
SNCAIP
PRKCQ
YBX1
TRIB2
PVR
TBX21
MARK3
EDN1
MOXD1
NFE2L1
ANKRD10
PITPNM2
CMA1
SEZ6L
PIK3IP1
IFT52
USP11
CRYM
NPTX2
SFRP4
TSPAN14
CASC3
TSPAN11
CHPT1
LPCAT3
VNN1
SMOC2
FGF1
DPYSL3
BCL6
FGF12
STEAP3
GRB14
IL1RL1
PLAGL1
PPL
GLT8D2
PPP3CC
ITIH5
GPCPD1
LAMP5
KDM5C
PPARG
KLRD1
HTR2B
CALCOCO2
RNF144B
SLCO5A1
FGF5
C1RL
PHLDA1
LUM
CYP1A1
ZMYND15
FBXO15
FHAD1
STRIP1
C1orf162
SUSD4
LEFTY2
MEIS1
TMEM44
OSMR
HAPLN1
PLIN2
FAM171A1
TENM4
GRIK4
SCN2B
AK5
PCDH1
PPP2R2B
SLC6A1
FRZB
C1QTNF7
CDS1
SYTL3
FNDC1
SLC13A4
FREM1
PKNOX2
TTC8
NUDT5
MYL1
STAT3
COL22A1
SIGLEC17P
COQ2
RBM4
MFSD4A
SLCO2A1
ANKLE2
CD163
UBE2N
C14orf28
SLC36A4
EXT1
NTM
ST6GALNAC3
PPP1R2
ARMCX2
MANEAL
LINC00839
WWOX
CYP4Z1
AQP7P1
CYP4F3
SMYD4
PLA2G2A
SF3B3
FAM180A
NPIPB15
NPIPB15
NPIPB15
SPTSSB
ILRUN
ARID5A
NOL4L
EIF4BP6
BLM
HNRNPAB
INKA2
TUBA3C
COLGALT2
MAGEE1
STUM
ZBTB12
PKHD1L1
VIT
CYS1
S1PR3
TM6SF2
RAB6C-AS1
LINC00377
LINC02969
LINC03002
FHAD1-AS1
FAM237A
BTBD3-AS1
LINC01563
NFIA-AS2
MBL1P
UBE2D3-AS1
SOCS2-AS1

LINC02021
FZD10-AS1
ARMS2



LINC02427
FAM169A-AS1
