,Feature,Gini,Importance (split),Importance (weight)
0,ENSG00000162998,0.8956228956228955,5.0,
1,ENSG00000000003,0.0,0.0,
2,ENSG00000196923,0.0,0.0,
3,ENSG00000196951,0.0,0.0,
4,ENSG00000196950,0.0,0.0,
5,ENSG00000196943,0.0,0.0,
6,ENSG00000196937,0.0,0.0,
7,ENSG00000196935,0.0,0.0,
8,ENSG00000196932,0.0,0.0,
9,ENSG00000196924,0.0,0.0,
10,ENSG00000196922,0.0,0.0,
11,ENSG00000196960,0.0,0.0,
12,ENSG00000196914,0.0,0.0,
13,ENSG00000196912,0.0,0.0,
14,ENSG00000196911,0.0,0.0,
15,ENSG00000196878,0.0,0.0,
16,ENSG00000196876,0.0,0.0,
17,ENSG00000196873,0.0,0.0,
18,ENSG00000196872,0.0,0.0,
19,ENSG00000196954,0.0,0.0,
20,ENSG00000196961,0.0,0.0,
21,ENSG00000196865,0.0,0.0,
22,ENSG00000197006,0.0,0.0,
23,ENSG00000197024,0.0,0.0,
24,ENSG00000197021,0.0,0.0,
25,ENSG00000197020,0.0,0.0,
26,ENSG00000197019,0.0,0.0,
27,ENSG00000197016,0.0,0.0,
28,ENSG00000197013,0.0,0.0,
29,ENSG00000197008,0.0,0.0,
30,ENSG00000196998,0.0,0.0,
31,ENSG00000196963,0.0,0.0,
32,ENSG00000196981,0.0,0.0,
33,ENSG00000196976,0.0,0.0,
34,ENSG00000196975,0.0,0.0,
35,ENSG00000196972,0.0,0.0,
36,ENSG00000196968,0.0,0.0,
37,ENSG00000196967,0.0,0.0,
38,ENSG00000196966,0.0,0.0,
39,ENSG00000196867,0.0,0.0,
40,ENSG00000196850,0.0,0.0,
41,ENSG00000197043,0.0,0.0,
42,ENSG00000196843,0.0,0.0,
43,ENSG00000196715,0.0,0.0,
44,ENSG00000196712,0.0,0.0,
45,ENSG00000196705,0.0,0.0,
46,ENSG00000196704,0.0,0.0,
47,ENSG00000196700,0.0,0.0,
48,ENSG00000196696,0.0,0.0,
49,ENSG00000196693,0.0,0.0,
50,ENSG00000196689,0.0,0.0,
51,ENSG00000196684,0.0,0.0,
52,ENSG00000196683,0.0,0.0,
53,ENSG00000196678,0.0,0.0,
54,ENSG00000196674,0.0,0.0,
55,ENSG00000196670,0.0,0.0,
56,ENSG00000196668,0.0,0.0,
57,ENSG00000196666,0.0,0.0,
58,ENSG00000196664,0.0,0.0,
59,ENSG00000196663,0.0,0.0,
60,ENSG00000196724,0.0,0.0,
61,ENSG00000196730,0.0,0.0,
62,ENSG00000196735,0.0,0.0,
63,ENSG00000196787,0.0,0.0,
64,ENSG00000196839,0.0,0.0,
65,ENSG00000196821,0.0,0.0,
66,ENSG00000196814,0.0,0.0,
67,ENSG00000196812,0.0,0.0,
68,ENSG00000196810,0.0,0.0,
69,ENSG00000196793,0.0,0.0,
70,ENSG00000196792,0.0,0.0,
71,ENSG00000196782,0.0,0.0,
72,ENSG00000196739,0.0,0.0,
73,ENSG00000196781,0.0,0.0,
74,ENSG00000196776,0.0,0.0,
75,ENSG00000196757,0.0,0.0,
